-3.00                        18464                10425   
-4.08                        9731                  3852   
-5.14                        5906                  1651   
-6.03                        4245                  830    
-7.09                        2907                  344    
-8.04                        2241                  166    
-9.05                        1638                  90     
-10.01                       1342                  33     
-11.02                       1084                  23     
-12.04                       905                   22     
-12.99                       751                   15     
-14.00                       586                   12     
-16.01                       387                   11     
-18.02                       275                   10     
-20.14                       180                   5      
-22.03                       134                   6      
-24.00                       64                     5                   
-29.97                       17                    4      
-35.20                      11                       1                   
-40.01                      5                       2     
-44.90                      1                       0.5   
-50.09                      0.55                    1     
-55.03                      0.25                    0.5                   
-60.03                      0.001                   0.0014
