Volt, mv  (discr threshold -3 mv)     ###          #No source##  
 
703				         220          7
802         		                 3230         468

882         		                 11039        4506

900     		                 18650        20306
934			                 48822        87610 
 
      



Volt, mv  (discr threshold -8 mv)     ###          #No source##  
 
703                                  5            0
802        	 		     397          10
900        			     3000         530
934        			     4900         2500 
 
      
