SCINT1   PMT V = 908 mV  count  time = 15 s

  THR                          Sr             No source
-3.00                        16594               10696
-4.06                         7753                3969               
-5.03                         4362                1505
-6.00                         2546                 525
-7.01                         1693                 170
-8.01                         1162                  50
-8.99                         938                   26
-10.02                        697                   10 
-11.01                        564                   13
-12.05                        435                   8   
-13.01                        339                   13
-14.07                        286                   10 
-16.11                        157                   5
-18.06                        78                    2 
-20.18                        50                    4
-22.01                        29                    3                      
-25.17                        25                    3
-30.00                        3                      1
-35.01                        1                      1
-40.01                        0.5                    0.001
