time 15 sec

  THR                          Sr             No source
-3.00                        15257               6076
-4.02                        10393               2693    
-5.11                        6725                1604
-6.05                        4831                749
-7.02                        3760                402
-8.05                        2755                131 
-9.02                        2272                64
-10.03                       1935                24
-11.11                       1524                17
-12.06                       1279                15
-13.09                       1066                9                    
-14.07                       970                 14
-16.04                       661                 12
-18.07                       492                 13
-19.98                       304                 7
-22.02                       255                 10
-25.05                       154                 6
-29.91                       66                  6.5
-35.20                       24.5                3
-40.01                       15                  3
-44.90                       3.5                 1
-49.90                       2.5                 2
-55.50                       2                   2   
